nombre,tipo,eslora,manga,calado,año,origen,bandera,imo,puertoDestino,urlPuertoDestino,puertoOrigen,urlPuertoOrigen,ETA,ETAPredecido,distancia,tiempo,rumbo,velocidad,caladoActual,estadoNavegacion,ultimaPosicionRecibida,MMSI,signal,GT,DWT,TEU,crudo,grano,fardo,puerto01_nombre,puerto01_llegada,puerto01_salida,puerto01_tiempo,puerto02_nombre,puerto02_llegada,puerto02_salida,puerto02_tiempo,puerto03_nombre,puerto03_llegada,puerto03_salida,puerto03_tiempo,puerto04_nombre,puerto04_llegada,puerto04_salida,puerto04_tiempo,puerto05_nombre,puerto05_llegada,puerto05_salida,puerto05_tiempo
MOGENS MAERSK,Container Ship,399,59,,2014,,Denmark,9632090,,,,,,,,,81.7°,17.9 kn,15.5 m,Under way,"Apr 22, 2023 23:43 UTC",220010000,OWSC2,194849,214121,,-,-,-,"Rotterdam Maasvlakte, Netherlands","Apr 18, 17:11","Apr 19, 12:41",19h 30m,"Rotterdam Maasvlakte, Netherlands","Apr 18, 03:52","Apr 18, 17:08",13h 16m,"Rotterdam Anch. 5, Netherlands","Apr 16, 12:28","Apr 18, 00:18",1d 11h,"Bremerhaven, Germany","Apr 14, 14:04","Apr 15, 18:11",1d 4h,"Gdansk, Poland","Apr 9, 12:38","Apr 12, 00:49",2d 12h
MARCHEN MAERSK,Container Ship,399,59,,2015,,Denmark,9632143,,,,,,,,,303.4°,21.0 kn,16.7 m,Under way,"Apr 22, 2023 23:34 UTC",219630000,OWUJ2,194849,214121,,-,-,-,"Tanjung Pelepas, Malaysia","Apr 21, 11:37","Apr 22, 20:06",1d 8h,"Yantian, China","Apr 17, 11:10","Apr 18, 07:14",20h 3m,"Nansha, China","Apr 16, 00:26","Apr 17, 02:53",1d 2h,"Hongqiao, China","Apr 12, 21:40","Apr 13, 23:15",1d 1h,"Ningbo, China","Apr 10, 01:44","Apr 12, 00:35",1d 22h
MARGRETHE MAERSK,Container Ship,399,59,,2015,,Denmark,9632131,,,,,,,,,287.2°,19.3 kn,16.3 m,Under way,"Apr 22, 2023 21:06 UTC",219629000,OWYZ2,194849,214121,,-,-,-,"As Suways (Suez) Anch., Egypt","Apr 20, 20:26","Apr 21, 05:30",9h 3m,"Tanjung Pelepas, Malaysia","Apr 8, 11:49","Apr 9, 18:09",1d 6h,"Hongqiao, China","Apr 1, 15:00","Apr 3, 03:25",1d 12h,"Ningbo, China","Mar 30, 06:34","Apr 1, 00:54",1d 18h,"Busan New Port, Korea","Mar 25, 14:40","Mar 26, 11:46",21h 5m
MARSTAL MAERSK,Container Ship,399,59,,2014,,Denmark,9619971,,,,,,,,,159°,16.6 kn,16.1 m,-,"Apr 18, 2023 04:10 UTC",219019139,OWJK2,194849,213971,,-,-,-,"Port Said Anch., Egypt","Apr 14, 20:45","Apr 15, 01:56",5h 11m,"Tanger Med, Morocco","Apr 9, 05:01","Apr 10, 11:30",1d 6h,"Rotterdam Maasvlakte, Netherlands","Apr 1, 19:46","Apr 3, 03:27",1d 7h,"Bremerhaven, Germany","Mar 30, 02:23","Mar 31, 07:23",1d 5h,"Gdansk, Poland","Mar 25, 04:05","Mar 27, 15:24",2d 11h
MAJESTIC MAERSK,Container Ship,399,59,,2013,,Denmark,9619919,,,,,,,,,45.6°,17.1 kn,14.3 m,Under way,"Apr 22, 2023 23:44 UTC",219018501,OWJD2,194849,213971,,-,-,-,"Algeciras, Spain","Apr 18, 22:51","Apr 19, 17:42",18h 51m,"As Suways (Suez) Anch., Egypt","Apr 13, 20:44","Apr 14, 01:20",4h 36m,"Tanjung Pelepas, Malaysia","Apr 2, 22:34","Apr 3, 07:33",8h 58m,"Tanjung Pelepas, Malaysia","Apr 2, 04:47","Apr 2, 22:22",17h 35m,"Yantian, China","Mar 29, 01:21","Mar 29, 21:16",19h 54m
MAREN MAERSK,Container Ship,399,60,,2014,,Denmark,9632129,,,,,,-,,,270.9°,0.2 kn,12.7 m,At anchor,"Apr 22, 2023 22:56 UTC",219620000,OWTG2,194849,214121,,-,-,-,"Ningbo, China","Apr 20, 04:00","Apr 21, 23:58",1d 19h,"Busan New Port, Korea","Apr 15, 08:17","Apr 16, 17:00",1d 8h,"Tianjin Xingang, China","Apr 11, 10:35","Apr 12, 20:58",1d 10h,"Tianjin Anch., China","Apr 11, 03:04","Apr 11, 08:52",5h 47m,"Dalian, China","Apr 8, 08:12","Apr 9, 15:22",1d 7h
MARIE MAERSK,Container Ship,399,59,,2013,,Denmark,9619933,,,,,,,,,305.7°,20.0 kn,16.8 m,-,"Apr 18, 2023 02:57 UTC",219018765,OWJF2,194849,213971,,-,-,-,"Tanjung Pelepas, Malaysia","Apr 16, 05:34","Apr 17, 10:23",1d 4h,"Tanjung Pelepas, Malaysia","Apr 16, 03:33","Apr 16, 05:25",1h 51m,"Yantian, China","Apr 11, 23:54","Apr 12, 19:42",19h 48m,"Ningbo, China","Apr 9, 11:40","Apr 10, 01:23",13h 42m,"Ningbo, China","Apr 8, 06:01","Apr 9, 11:23",1d 5h
MUNKEBO MAERSK,Container Ship,399,60,,2014,,Denmark,9632117,,,,,,,,,291°,17.8 kn,16.8 m,Under way,"Apr 22, 2023 23:44 UTC",219021000,OWUQ2,194849,214121,,-,-,-,"As Suways (Suez) Anch., Egypt","Apr 21, 20:04","Apr 22, 04:07",8h 3m,"Colombo, Sri Lanka","Apr 12, 19:25","Apr 13, 08:37",13h 12m,"Tanjung Pelepas, Malaysia","Apr 7, 01:32","Apr 8, 00:48",23h 15m,"Yantian, China","Apr 2, 18:56","Apr 3, 12:50",17h 53m,"Nansha, China","Apr 1, 00:27","Apr 2, 11:10",1d 10h
MADISON MAERSK,Container Ship,399,59,,2014,,Denmark,9619945,,,,,,-,,,289°,19.6 kn,16.9 m,Under way,"Apr 22, 2023 19:57 UTC",219018864,OWJG2,194849,213971,,-,-,-,"As Suways (Suez) Anch., Egypt","Apr 20, 16:23","Apr 21, 05:07",12h 43m,"Tanjung Pelepas, Malaysia","Apr 9, 10:50","Apr 9, 21:19",10h 29m,"Tanjung Pelepas, Malaysia","Apr 8, 14:42","Apr 9, 10:38",19h 55m,"Yantian, China","Apr 4, 08:22","Apr 5, 04:23",20h 1m,CNXMN,"Apr 2, 15:07","Apr 3, 07:55",16h 47m
MORTEN MAERSK,Container Ship,399,59,,2014,,Denmark,9632105,,,,,,-,,,84.5°,12.7 kn,10.7 m,-,"Apr 22, 2023 09:28 UTC",219609000,OWLW2,194849,214121,,-,-,-,"Hongqiao, China","Apr 21, 08:10","Apr 21, 22:59",14h 48m,"Singapore, Singapore","Apr 13, 16:22","Apr 15, 09:21",1d 16h,"Port Said Anch., Egypt","Mar 30, 19:14","Mar 31, 01:14",6h,"Tanger Med, Morocco","Mar 25, 04:56","Mar 26, 02:23",21h 26m,"Wilhelmshaven, Germany","Mar 20, 00:13","Mar 20, 23:20",23h 6m
MARY MAERSK,Container Ship,399,59,,2013,,Denmark,9619921,,,,,,-,,,48.9°,16.0 kn,13.2 m,-,"Apr 21, 2023 14:11 UTC",219018692,OWJE2,194849,213971,,-,-,-,"Tanjung Pelepas, Malaysia","Apr 20, 03:40","Apr 21, 08:36",1d 4h,"Tanjung Pelepas, Malaysia","Apr 20, 00:10","Apr 20, 03:28",3h 18m,"Tanjung Pelepas, Malaysia","Apr 19, 12:06","Apr 20, 00:01",11h 55m,"Port Said Anch., Egypt","Apr 6, 19:07","Apr 7, 04:21",9h 13m,"Tanger Med, Morocco","Apr 1, 16:31","Apr 2, 11:21",18h 49m
MAERSK MC-KINNEY MOLLER,Container Ship,399,59,,2013,,Denmark,9619907,,,,,,-,,,69.2°,10.7 kn,10.5 m,Under way,"Apr 22, 2023 18:22 UTC",219018271,OWIZ2,194849,213971,,-,-,-,"Xiamen, China","Apr 19, 07:56","Apr 21, 04:15",1d 20h,"Ningbo, China","Apr 15, 07:24","Apr 16, 12:46",1d 5h,"Okpo Anch., Korea","Apr 6, 21:36","Apr 11, 07:32",4d 9h,"Okpo Anch., Korea","Mar 26, 23:11","Apr 1, 04:53",5d 5h,,,,
MATHILDE MAERSK,Container Ship,399,59,,2015,,Denmark,9632179,,,,,,-,,,58.2°,0.2 kn,16.1 m,Under way,"Apr 22, 2023 23:43 UTC",219646000,OWZW2,194849,214121,,-,-,-,"Yantian, China","Apr 18, 11:29","Apr 19, 11:20",23h 50m,"Xiamen, China","Apr 16, 14:09","Apr 17, 07:14",17h 4m,"Ningbo, China","Apr 13, 07:58","Apr 15, 06:59",1d 23h,"Gwangyang, Korea","Apr 10, 15:20","Apr 11, 15:44",1d,"Qingdao, China","Apr 8, 00:29","Apr 9, 08:18",1d 7h
MARIBO MAERSK,Container Ship,399,59,,2014,,Denmark,9619969,,,,,,,,,16.4°,19.6 kn,14.7 m,-,"Apr 21, 2023 17:43 UTC",219019094,OWJJ2,194849,213971,,-,-,-,"Singapore, Singapore","Apr 19, 16:45","Apr 21, 11:01",1d 18h,"Port Said Anch., Egypt","Apr 6, 19:38","Apr 7, 04:33",8h 54m,"Tanger Med, Morocco","Apr 1, 03:35","Apr 2, 01:57",22h 22m,"Wilhelmshaven, Germany","Mar 27, 06:27","Mar 28, 07:54",1d 1h,"Bremerhaven, Germany","Mar 24, 22:31","Mar 27, 01:41",2d 3h
MARIT MAERSK,Container Ship,399,59,,2015,,Denmark,9632167,,,,,,-,,,178.8°,0.0 kn,13.6 m,Moored,"Apr 22, 2023 22:54 UTC",219632000,OWYH2,194849,214121,,-,-,-,"Ningbo, China","Apr 22, 00:08",-,-,"Gwangyang, Korea","Apr 16, 20:35","Apr 17, 22:02",1d 1h,"Qingdao, China","Apr 14, 14:28","Apr 15, 18:27",1d 3h,"Tianjin Xingang, China","Apr 10, 08:20","Apr 11, 21:16",1d 12h,"Hongqiao, China","Apr 6, 17:27","Apr 7, 22:18",1d 4h
MAGLEBY MAERSK,Container Ship,399,59,,2014,,Denmark,9619957,,,,,,,,,299.5°,14.6 kn,12.8 m,Under way,"Apr 22, 2023 23:44 UTC",219018986,OWJI2,194849,213971,,-,-,-,"Hongqiao, China","Apr 20, 04:47","Apr 21, 07:47",1d 3h,"Tanjung Pelepas, Malaysia","Apr 14, 23:31","Apr 15, 01:04",1h 32m,"Tanjung Pelepas, Malaysia","Apr 13, 16:28","Apr 14, 23:07",1d 6h,"Tanjung Pelepas, Malaysia","Apr 13, 06:49","Apr 13, 16:19",9h 30m,"Tanjung Pelepas, Malaysia","Apr 12, 22:42","Apr 13, 06:34",7h 52m
METTE MAERSK,Container Ship,399,59,,2015,,Denmark,9632155,,,,,,-,,,44°,0.0 kn,14.2 m,Moored,"Apr 22, 2023 23:44 UTC",219631000,OWRS2,194849,214121,,-,-,-,"Tanger Med, Morocco","Apr 22, 09:03",-,-,"Wilhelmshaven, Germany","Apr 16, 21:46","Apr 18, 08:37",1d 10h,"Bremerhaven, Germany","Apr 15, 02:23","Apr 16, 17:26",1d 15h,"Aarhus, Denmark","Apr 12, 02:23","Apr 13, 02:48",1d,"Goteborg, Sweden","Apr 10, 02:40","Apr 11, 16:33",1d 13h
MATZ MAERSK,Container Ship,399,59,,2014,,Denmark,9619983,,,,,,,,,212.6°,16.2 kn,15.0 m,-,"Apr 19, 2023 13:39 UTC",219019365,OWJM2,194849,213971,,-,-,-,"Hongqiao, China","Apr 17, 03:07","Apr 18, 04:26",1d 1h,"Ningbo, China","Apr 14, 11:31","Apr 16, 03:26",1d 15h,"Busan New Port, Korea","Apr 8, 23:35","Apr 9, 21:51",22h 15m,"Tianjin Xingang, China","Apr 5, 07:04","Apr 6, 21:27",1d 14h,"Tianjin Anch., China","Apr 3, 00:29","Apr 5, 05:06",2d 4h
MERETE MAERSK,Container Ship,399,59,,2014,,Denmark,9632064,,,,,,-,,,127°,0.0 kn,10.6 m,At anchor,"Apr 22, 2023 23:43 UTC",219581000,OWQZ2,194849,214121,,-,-,-,"Goteborg Anch., Sweden","Apr 22, 11:54",-,-,"Goteborg Anch., Sweden","Apr 21, 16:34","Apr 22, 11:50",19h 16m,"Bremerhaven, Germany","Apr 18, 19:16","Apr 20, 05:08",1d 9h,"Wilhelmshaven Anch., Germany","Apr 17, 14:18","Apr 18, 15:02",1d,"Rotterdam Maasvlakte, Netherlands","Apr 15, 12:46","Apr 16, 17:50",1d 5h
MAYVIEW MAERSK,Container Ship,399,59,,2014,,Denmark,9619995,,,,,,-,,,239°,4.2 kn,13.7 m,Under way,"Apr 22, 2023 23:45 UTC",219578000,OWJN2,194849,213971,,-,-,-,"Qingdao, China","Apr 20, 15:22","Apr 21, 19:44",1d 4h,"Tianjin Xingang, China","Apr 16, 22:23","Apr 18, 08:55",1d 10h,"Hongqiao, China","Apr 13, 23:27","Apr 15, 01:27",1d 1h,"Tanjung Pelepas, Malaysia","Apr 5, 23:45","Apr 7, 01:31",1d 1h,"Tanjung Pelepas, Malaysia","Apr 5, 21:09","Apr 5, 23:33",2h 24m
MSC JADE,Container Ship,398,59,,2016,,Liberia,9762326,,,,,,,,,88.1°,18.7 kn,13.9 m,-,"Apr 12, 2023 23:17 UTC",636017506,D5LH6,194308,200148,,-,-,-,"Hongqiao, China","Apr 11, 07:11","Apr 12, 08:34",1d 1h,"Ningbo, China","Apr 8, 07:46","Apr 10, 04:39",1d 20h,"Yantian, China","Apr 1, 11:39","Apr 1, 22:54",11h 14m,"Nansha, China","Mar 31, 04:56","Apr 1, 03:16",22h 20m,"Hongqiao, China","Mar 27, 08:20","Mar 29, 00:19",1d 15h
MSC REEF,Container Ship,398,59,,2016,,Liberia,9754965,,,,,,-,,,197.8°,0.0 kn,14.1 m,At anchor,"Apr 22, 2023 23:45 UTC",636017577,D5LQ2,194308,200148,,-,-,-,"Port Said Anch., Egypt","Apr 22, 20:00",-,-,"Tanger Med, Morocco","Apr 17, 09:42","Apr 18, 10:35",1d,"Felixstowe, United Kingdom (UK)","Apr 8, 03:40","Apr 10, 07:05",2d 3h,"Antwerpen, Belgium","Apr 4, 23:58","Apr 7, 13:32",2d 13h,"Sines, Portugal","Mar 31, 03:32","Apr 1, 19:56",1d 16h
MSC TINA,Container Ship,398,59,,2017,,Liberia,9762340,,,,,,,,,231.8°,11.3 kn,12.0 m,-,"Apr 22, 2023 10:29 UTC",636017867,D5NB7,194308,200148,,-,-,-,"Busan New Port, Korea","Apr 19, 07:24","Apr 21, 16:40",2d 9h,"Chiwan, China","Apr 15, 01:13","Apr 16, 07:11",1d 5h,"Singapore, Singapore","Apr 10, 06:52","Apr 11, 21:04",1d 14h,"Khalifa, United Arab Emirates (UAE)","Mar 30, 07:44","Mar 31, 16:57",1d 9h,"Jebel Ali, United Arab Emirates (UAE)","Mar 29, 06:56","Mar 30, 03:34",20h 38m
MSC DITTE,Container Ship,398,59,,2016,,Liberia,9754953,,,,,,-,,,65.2°,0.2 kn,13.2 m,At anchor,"Apr 22, 2023 23:46 UTC",636017569,D5LP2,194308,200148,,-,-,-,"As Suways (Suez) Anch., Egypt","Apr 22, 18:05",-,-,"Kulayyah, Saudi Arabia","Apr 20, 15:34","Apr 21, 09:56",18h 22m,"Tanjung Pelepas, Malaysia","Apr 9, 20:11","Apr 11, 02:45",1d 6h,"Ningbo, China","Mar 31, 08:30","Apr 2, 22:24",2d 13h,"Ningbo Anch., China","Mar 27, 14:23","Mar 31, 06:32",3d 16h
MSC ERICA,Container Ship,399,59,,2016,,Liberia,9755191,,,,,,,,,27.6°,15.3 kn,13.5 m,Under way,"Apr 22, 2023 23:11 UTC",636017726,D5ML4,194308,200148,,-,-,-,"As Suways (Suez) Anch., Egypt","Apr 15, 18:44","Apr 16, 03:13",8h 29m,"Kulayyah, Saudi Arabia","Apr 13, 09:22","Apr 14, 03:05",17h 42m,"Tanjung Pelepas, Malaysia","Apr 1, 14:39","Apr 2, 21:56",1d 7h,"Ningbo, China","Mar 26, 16:20","Mar 27, 05:10",12h 49m,"Ningbo, China","Mar 25, 02:42","Mar 26, 14:50",1d 12h
MSC MIRJA,Container Ship,398,59,,2016,,Liberia,9762338,,,,,,-,,,115°,17.5 kn,15.3 m,-,"Apr 22, 2023 08:29 UTC",636017516,D5LI6,194308,200148,,-,-,-,"Port Said Anch., Egypt","Apr 18, 19:01","Apr 19, 01:41",6h 39m,"Tanger Med, Morocco","Apr 12, 23:28","Apr 13, 23:54",1d,"Felixstowe, United Kingdom (UK)","Apr 5, 18:27","Apr 8, 23:06",3d 4h,"Le Havre, France","Apr 3, 02:49","Apr 4, 19:41",1d 16h,"Antwerpen, Belgium","Mar 30, 05:59","Apr 2, 02:32",2d 20h
MSC ELOANE,Container Ship,400,59,,2016,,Liberia,9755957,,,,,,-,,,264.4°,3.5 kn,13.8 m,Moored,"Apr 22, 2023 23:46 UTC",636017435,D5KY2,194250,201792,,-,-,-,"Korfez, Turkey","Apr 20, 03:40",-,-,"Piraeus, Greece","Apr 17, 12:17","Apr 18, 19:37",1d 7h,"Port Said East, Egypt","Apr 13, 15:45","Apr 14, 19:23",1d 3h,"As Suways (Suez) Anch., Egypt","Apr 12, 20:54","Apr 13, 05:02",8h 8m,"Kulayyah, Saudi Arabia","Apr 10, 18:20","Apr 11, 11:03",16h 42m
MSC DIANA,Container Ship,400,59,,2016,,Liberia,9755933,,,,,,,,,162.3°,15.4 kn,10.5 m,-,"Apr 18, 2023 21:07 UTC",636017433,D5KX8,194250,202036,,-,-,-,"Laem Chabang, Thailand","Apr 16, 20:46","Apr 18, 17:53",1d 21h,"Singapore, Singapore","Apr 12, 21:20","Apr 14, 10:50",1d 13h,"Singapore Anch. 1, Singapore","Apr 12, 18:13","Apr 12, 21:02",2h 49m,"Port Said Anch., Egypt","Mar 29, 20:28","Mar 30, 00:57",4h 29m,"Algeciras, Spain","Mar 23, 02:35","Mar 24, 01:30",22h 54m
MSC LEANNE,Container Ship,400,59,,2017,,Liberia,9767390,,,,,,,,,308.3°,18.0 kn,16.2 m,-,"Apr 18, 2023 19:53 UTC",636017686,D5MG2,194250,202461,,-,-,-,"Singapore, Singapore","Apr 16, 08:03","Apr 18, 04:26",1d 20h,"Chiwan, China","Apr 10, 23:56","Apr 11, 20:35",20h 39m,"Ningbo, China","Apr 7, 08:14","Apr 9, 00:10",1d 15h,"Ningbo Anch., China","Apr 2, 00:45","Apr 7, 06:06",5d 5h,"Hongqiao, China","Mar 31, 15:00","Apr 1, 15:37",1d
MSC MIRJAM,Container Ship,400,59,,2016,,Liberia,9767376,,,,,,-,,,355.4°,1.9 kn,13.5 m,Under way,"Apr 22, 2023 23:47 UTC",636017684,D5MF8,193489,202376,,-,-,-,"Asyaport, Turkey","Apr 17, 05:56","Apr 18, 17:56",1d 11h,"Ambarli, Turkey","Apr 14, 13:22","Apr 17, 01:11",2d 11h,"Korfez, Turkey","Apr 12, 06:38","Apr 14, 07:47",2d 1h,"Piraeus, Greece","Apr 9, 21:22","Apr 10, 12:15",14h 52m,"Port Said East, Egypt","Apr 6, 15:05","Apr 7, 10:24",19h 19m
MSC RIFAYA,Container Ship,400,59,,2017,,Liberia,9767388,,,,,,-,,,345.1°,0.1 kn,12.1 m,-,"Apr 22, 2023 03:55 UTC",636017685,D5MF9,193489,202338,,-,-,-,"Hongqiao, China","Apr 19, 19:20","Apr 21, 02:59",1d 7h,"Laem Chabang, Thailand","Apr 8, 12:24","Apr 9, 20:53",1d 8h,"Singapore, Singapore","Apr 4, 12:57","Apr 6, 08:46",1d 19h,"Port Said Anch., Egypt","Mar 22, 20:07","Mar 23, 01:48",5h 40m,"Algeciras, Spain","Mar 16, 18:03","Mar 17, 23:13",1d 5h
MSC INGY,Container Ship,400,59,,2016,,Liberia,9755945,,,,,,,,,97.4°,15.9 kn,14.3 m,-,"Apr 20, 2023 17:58 UTC",636017434,D5KX9,193489,202347,,-,-,-,"Kulayyah, Saudi Arabia","Apr 18, 01:20","Apr 19, 01:29",1d,"Port Said Anch., Egypt","Apr 15, 21:08","Apr 16, 01:30",4h 22m,"Asyaport, Turkey","Apr 11, 14:16","Apr 13, 07:16",1d 17h,"Ambarli, Turkey","Apr 9, 00:45","Apr 11, 08:36",2d 7h,"Korfez, Turkey","Apr 6, 17:37","Apr 8, 19:45",2d 2h
MSC ZOE,Container Ship,395,59,,2015,,Panama,9703318,,,,,,-,,,331.6°,19.6 kn,16.4 m,Under way,"Apr 22, 2023 23:40 UTC",352757000,3FQA,192784,199272,,-,-,-,"Singapore, Singapore","Apr 12, 01:38","Apr 13, 17:53",1d 16h,"Ningbo, China","Apr 5, 12:47","Apr 7, 07:38",1d 18h,"Ningbo Anch., China","Mar 30, 12:45","Apr 5, 11:02",5d 22h,"Hongqiao, China","Mar 29, 03:13","Mar 30, 05:51",1d 2h,"Busan New Port, Korea","Mar 23, 15:40","Mar 26, 10:41",2d 19h
MSC CLARA,Container Ship,396,59,,2015,,Panama,9708693,,,,,,-,,,264.9°,0.0 kn,14.2 m,Moored,"Apr 22, 2023 23:47 UTC",374766000,3FZW9,192237,199273,,-,-,-,"Khalifa, United Arab Emirates (UAE)","Apr 22, 09:26",-,-,"Kulayyah, Saudi Arabia","Apr 15, 09:06","Apr 16, 19:10",1d 10h,"Port Said Anch., Egypt","Apr 11, 20:54","Apr 12, 02:47",5h 53m,"Piraeus, Greece","Apr 9, 05:16","Apr 10, 12:20",1d 7h,"Asyaport, Turkey","Apr 6, 10:07","Apr 7, 21:05",1d 10h
MSC MAYA,Container Ship,395,59,,2015,,Panama,9708679,,,,,,,,,167.8°,18.7 kn,14.9 m,-,"Apr 17, 2023 10:59 UTC",374859000,3EZI,192237,199272,,-,-,-,"Khalifa, United Arab Emirates (UAE)","Apr 15, 12:42","Apr 16, 21:36",1d 8h,"Kulayyah, Saudi Arabia","Apr 8, 15:59","Apr 9, 22:13",1d 6h,"Port Said Anch., Egypt","Apr 5, 19:19","Apr 6, 03:03",7h 44m,"Piraeus, Greece","Apr 1, 23:02","Apr 3, 13:53",1d 14h,"Asyaport, Turkey","Mar 30, 05:22","Mar 31, 19:12",1d 13h
MSC SVEVA,Container Ship,395,59,,2015,,Panama,9708681,,,,,,-,,,347.9°,0.0 kn,15.0 m,Moored,"Apr 22, 2023 23:46 UTC",374645000,3ESP7,192237,199272,,-,-,-,"Tanjung Pelepas, Malaysia","Apr 22, 04:38",-,-,"Ningbo, China","Apr 15, 00:49","Apr 17, 09:47",2d 8h,"Hongqiao, China","Apr 10, 08:55","Apr 11, 20:44",1d 11h,"Laem Chabang, Thailand","Apr 3, 04:41","Apr 4, 04:35",23h 53m,"Singapore, Singapore","Mar 28, 14:06","Mar 30, 05:00",1d 14h
MSC OSCAR,Container Ship,395,59,,2014,,Panama,9703291,,,,,,,,,255.2°,7.6 kn,12.8 m,Under way,"Apr 22, 2023 23:47 UTC",355906000,3FBT7,192237,199273,,-,-,-,"Xiamen, China","Apr 21, 11:10","Apr 22, 01:25",14h 14m,"Hongqiao, China","Apr 18, 16:25","Apr 20, 02:04",1d 9h,"Busan New Port, Korea","Apr 14, 02:37","Apr 16, 00:36",1d 21h,"Chiwan, China","Apr 7, 03:48","Apr 8, 03:07",23h 19m,"Singapore, Singapore","Mar 31, 23:01","Apr 2, 19:01",1d 20h
MSC OLIVER,Container Ship,395,59,,2015,,Panama,9703306,,,,,,-,,,219.1°,0.0 kn,9.2 m,-,"Mar 14, 2023 01:53 UTC",356289000,H8RY,192237,199273,,-,-,-,,,,,,,,,,,,,,,,,,,,
ICHTHYS VENTURER,Offshore Support Vessel,336,59,,2017,,Australia,9657179,,,,,,-,,,255.4°,0.0 kn,10.0 m,-,"Mar 18, 2023 20:09 UTC",503000059,VJN4521,190430,191290,-,-,-,-,,,,,,,,,,,,,,,,,,,,
YUUM KAK NAAB,Offshore Support Vessel,340,65,,1981,,Mexico,7708302,,,,,,-,,,37°,0.2 kn,-,-,"Apr 19, 2023 06:18 UTC",563086600,9V5072,189863,360700,-,,-,-,,,,,,,,,,,,,,,,,,,,
CSCL ATLANTIC OCEAN,Container Ship,400,59,,2015,,Hong Kong,9695145,,,,,,,,,113.9°,11.4 kn,13.7 m,Under way,"Apr 22, 2023 23:47 UTC",477967800,VROE2,188638,184320,,-,-,-,"Felixstowe, United Kingdom (UK)","Apr 19, 22:36","Apr 22, 19:59",2d 21h,"As Suways (Suez) Anch., Egypt","Apr 11, 17:25","Apr 12, 04:44",11h 19m,"Singapore, Singapore","Mar 29, 21:09","Mar 30, 23:52",1d 2h,"Hongqiao, China","Mar 26, 17:46","Mar 27, 02:32",8h 45m,"Hongqiao, China","Mar 26, 13:24","Mar 26, 13:58",34m
CSCL PACIFIC OCEAN,Container Ship,400,59,,2014,,Hong Kong,9695133,,,,,,-,,,35.3°,0.2 kn,12.0 m,At anchor,"Apr 22, 2023 23:46 UTC",477712800,VRNV5,188638,184320,,-,-,-,"Antwerpen Anch., Belgium","Apr 22, 19:02",-,-,"Rotterdam Maasvlakte, Netherlands","Apr 19, 19:45","Apr 22, 13:01",2d 17h,"Rotterdam Anch. 5, Netherlands","Apr 18, 07:45","Apr 19, 17:34",1d 9h,"Hamburg, Germany","Apr 15, 10:23","Apr 17, 14:06",2d 3h,"Piraeus, Greece","Apr 4, 10:02","Apr 6, 08:14",1d 22h
CSCL INDIAN OCEAN,Container Ship,400,59,,2015,,Hong Kong,9695157,,,,,,-,,,89.7°,2.0 kn,14.2 m,Under way,"Apr 22, 2023 23:49 UTC",477476800,VROC2,188638,184320,,-,-,-,"Khalifa, United Arab Emirates (UAE)","Apr 22, 08:19",-,-,"Jebel Ali, United Arab Emirates (UAE)","Apr 20, 05:50","Apr 22, 04:02",1d 22h,"Singapore, Singapore","Apr 11, 19:00","Apr 12, 11:39",16h 38m,"Nansha, China","Apr 7, 02:26","Apr 8, 05:31",1d 3h,"Ningbo, China","Apr 3, 02:34","Apr 4, 22:30",1d 19h
CSCL GLOBE,Container Ship,400,59,,2014,,Hong Kong,9695121,,,,,,,,,198.2°,18.0 kn,14.6 m,Under way,"Apr 22, 2023 22:15 UTC",477712400,VRNU2,188638,184320,,-,-,-,"Ningbo, China","Apr 21, 08:34","Apr 22, 14:37",1d 6h,"Hongqiao, China","Apr 19, 00:36","Apr 20, 14:56",1d 14h,"Dalian, China","Apr 16, 19:43","Apr 17, 14:12",18h 28m,"Qingdao, China","Apr 14, 16:52","Apr 16, 02:25",1d 9h,"Tianjin Xingang, China","Apr 10, 22:37","Apr 13, 05:11",2d 6h
CSCL ARCTIC OCEAN,Container Ship,400,59,,2015,,Hong Kong,9695169,,,,,,-,,,313.8°,0.0 kn,11.6 m,At anchor,"Apr 22, 2023 23:47 UTC",477967700,VROD9,188638,184320,,-,-,-,"Gdansk Anch., Poland","Apr 21, 14:24",-,-,"Gdansk, Poland","Apr 20, 01:44","Apr 21, 13:52",1d 12h,"Zeebrugge, Belgium","Apr 15, 23:10","Apr 17, 08:14",1d 9h,"Felixstowe, United Kingdom (UK)","Apr 13, 04:32","Apr 15, 15:48",2d 11h,"As Suways (Suez) Anch., Egypt","Apr 3, 17:15","Apr 4, 03:45",10h 30m
MSC ANNA,Container Ship,400,59,,2016,,Liberia,9777204,,,,,,-,,,26.8°,0.0 kn,14.5 m,Moored,"Apr 22, 2023 23:48 UTC",636017727,D5ML5,187587,185503,,-,-,-,"Singapore, Singapore","Apr 22, 13:20",-,-,"Ningbo, China","Apr 14, 23:53","Apr 16, 21:58",1d 22h,"Ningbo Anch., China","Apr 12, 07:30","Apr 14, 22:02",2d 14h,"Hongqiao, China","Apr 10, 22:25","Apr 11, 23:58",1d 1h,"Busan New Port, Korea","Apr 6, 22:39","Apr 9, 04:21",2d 5h
